ym,Nivel General,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad, gas y otros combustibles",Equipamiento y mantenimiento del hogar,Salud,Transporte,Información y comunicación,Recreación y cultura,Educación,Restaurantes y hoteles,Seguros y servicios financieros,"Cuidado personal, protección social y otros productos",Bienes,Servicios,Estacionales ,Regulados,Resto IPCBA
2001-12,1.08043436233249,0.73414062628171,,0.72003801459924,1.54894901662025,1.29254515253306,1.70656755351375,1.44878526961864,,1.13136610461201,1.2403839264531,,,1.39234732339383,,,,,
2002-01,1.10520451896885,0.74959378102785,,0.71025301350669,1.55648406332766,1.33933724137808,1.71324862923253,1.50634053939445,,1.23214485686591,1.24124772120229,,,1.40708765848371,,,,,
2002-02,1.13991324001059,0.77946023994163,,0.71119188170045,1.57158396621292,1.43870802626349,1.76498465901097,1.52959229426648,,1.2814020348353,1.25630755961149,,,1.49950517881138,,,,,
2002-03,1.18500229093712,0.82021018397961,,0.77164941287396,1.584452095915,1.53845288926504,1.80621774054637,1.57566521595734,,1.33879025731672,1.26264312024488,,,1.57437364171427,,,,,
2002-04,1.30810791356476,0.92863903187567,,0.93875279443708,1.61595451929948,1.74480918653736,2.06776527581338,1.71876397896604,,1.4514854238309,1.28145377583095,,,1.74761556356579,,,,,
2002-05,1.36057277920845,0.97472504637202,,0.99148167149388,1.64029423313565,1.81867165651508,2.1521698706321,1.78507453915663,,1.52527759437898,1.2955617675205,,,1.82325042222556,,,,,
2002-06,1.40985303955994,1.02106504469661,,1.03024378615264,1.69365318522431,1.87552103166868,2.16191112845342,1.87879920540003,,1.58957259491346,1.30601978367531,,,1.87757989747619,,,,,
2002-07,1.45480835560629,1.06307619456192,,1.05535950070291,1.69924105482483,1.93179298934611,2.17985847947301,1.93549329906948,,1.70232633877017,1.31431831295714,,,1.96984043076822,,,,,
2002-08,1.48887946026093,1.1126123105498,,1.05677012820372,1.75610965022574,1.95205233074677,2.19802841299658,1.97639916412211,,1.69571473958667,1.31870861371827,,,1.98560192914711,,,,,
2002-09,1.50899068305605,1.14465320473462,,1.10199460474648,1.7559774761587,1.9539503489579,2.20547183379149,2.00166032990901,,1.69803236487827,1.32261930179121,,,1.95665052954468,,,,,
2002-10,1.5122888586971,1.14106776879448,,1.14176086572144,1.75639649607338,1.96368080039839,2.20648654814788,2.01041562032378,,1.71376929529231,1.32479600552992,,,1.93746820890332,,,,,
2002-11,1.51998846479661,1.1526750151343,,1.14920326063104,1.75473166527141,1.98613377565588,2.19596952483474,2.0208932629513,,1.71541455456525,1.3260626749372,,,1.94770974408596,,,,,
2002-12,1.52283467680449,1.15953628628966,,1.14287868897909,1.75136263266879,1.99340536798733,2.18244436444574,2.00955444421741,,1.74280837614373,1.32414422418443,,,1.95664155885693,,,,,
2003-01,1.54292503973962,1.17750981340427,,1.11746844780777,1.77419781191196,2.00463047423455,2.21399870765726,2.03022267077032,,1.82656124176372,1.3261881121018,,,1.95246719882336,,,,,
2003-02,1.55165836778987,1.19160684281938,,1.10883761214658,1.78561540153355,2.01785029539944,2.22998209540642,2.03452855130218,,1.80679775576065,1.32012285626037,,,1.97367091443799,,,,,
2003-03,1.56071618255111,1.20587999240736,,1.16979945556947,1.79539628249509,2.01925101626268,2.24325848711451,2.02720855439802,,1.76518492099206,1.33148106853763,,,1.97354532480947,,,,,
2003-04,1.56157839009748,1.20281920919269,,1.2205768784646,1.7957674947685,2.0199389442606,2.24271839721514,2.02591679023846,,1.75456968778835,1.33033737674271,,,1.95875565093696,,,,,
2003-05,1.55558929251737,1.19118415440452,,1.23098348574157,1.79564656955823,2.01647167664055,2.23656791890659,2.01816620528112,,1.75371140237816,1.33248702540671,,,1.95374701694253,,,,,
2003-06,1.55425657924006,1.18186090862222,,1.22949018410152,1.83228972048662,2.01147936382029,2.23931419421307,2.01845326398325,,1.75335484464099,1.33418657600948,,,1.94318851745935,,,,,
2003-07,1.5611588751354,1.18225393469218,,1.20337204561295,1.83174696314746,2.00780212620891,2.24213248150613,2.01773561722794,,1.81942499333838,1.33827189229196,,,2.0315946452476,,,,,
2003-08,1.56153898813971,1.18807146208627,,1.17852674439311,1.82985434299591,2.01055107543755,2.23984446429609,2.01500855955776,,1.78561313249086,1.34347384529465,,,2.09535231332476,,,,,
2003-09,1.56215783065283,1.19242811899388,,1.20819987086905,1.82764394264059,2.00219371722986,2.23813581625081,2.00984150291953,,1.76099791442131,1.34462737529856,,,2.08587926705947,,,,,
2003-10,1.57136629995846,1.21003457459032,,1.22725109283041,1.82968279793016,2.00128476818843,2.23814236279505,2.00869326811104,,1.76006577062271,1.35210687368209,,,2.08011709529394,,,,,
2003-11,1.57524159839265,1.21702191071151,,1.22714258302266,1.82967154907339,1.99537798080065,2.24391968808222,2.0107026790259,,1.76397517152667,1.35432047070451,,,2.08080783825079,,,,,
2003-12,1.57858612927814,1.21368489690994,,1.22730448654534,1.83120983023669,1.99680080376824,2.2492649414499,2.01314267799395,,1.8180624334142,1.35257664816129,,,2.07702519824902,,,,,
2004-01,1.58522188251802,1.21834373895625,,1.1885854313341,1.83271998925807,2.00264681036906,2.25941863155801,2.01472150085563,,1.88882386319634,1.35275373592308,,,2.08520048501963,,,,,
